epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,5216.9,0.45495,0.25241,0.91873,0.92641,0.91873,0.96996,0.8239,0.78179,0.43299,1.09938,9.9081e-05,9.9081e-05,9.9081e-05
92,5273.56,0.43859,0.24345,0.90756,0.943,0.8934,0.94737,0.81794,0.78496,0.42785,1.10166,9.00819e-05,9.00819e-05,9.00819e-05
93,5329.71,0.43317,0.23663,0.90213,0.94539,0.89306,0.95088,0.82354,0.77898,0.42353,1.09498,8.10828e-05,8.10828e-05,8.10828e-05
94,5385.88,0.4232,0.23464,0.90027,0.94449,0.89079,0.9384,0.81305,0.77921,0.42154,1.09995,7.20837e-05,7.20837e-05,7.20837e-05
95,5442.06,0.4172,0.23081,0.89687,0.94126,0.89252,0.93873,0.81062,0.77826,0.42218,1.09984,6.30846e-05,6.30846e-05,6.30846e-05
96,5498.17,0.41118,0.22864,0.89278,0.94205,0.89321,0.95028,0.82377,0.77479,0.4231,1.10277,5.40855e-05,5.40855e-05,5.40855e-05
97,5554.27,0.40817,0.22653,0.89749,0.94249,0.89365,0.93848,0.81404,0.77184,0.42035,1.10171,4.50864e-05,4.50864e-05,4.50864e-05
98,5610.35,0.40507,0.22129,0.8903,0.94196,0.89423,0.93123,0.80824,0.77408,0.4199,1.10491,3.60873e-05,3.60873e-05,3.60873e-05
99,5666.27,0.39342,0.21888,0.8881,0.94304,0.89492,0.93822,0.80062,0.77476,0.42508,1.10818,2.70882e-05,2.70882e-05,2.70882e-05
100,5722.43,0.39541,0.21707,0.88838,0.94154,0.89272,0.93769,0.81228,0.77273,0.42089,1.10763,1.80891e-05,1.80891e-05,1.80891e-05
